0	it is the county seat of alfalfa county  	it is the county seat of alfalfa county  	it is the county seat of pre raphaelite county  
4298	in the early 18th century   many amish and mennonites immigrated to pennsylvania for a variety of reasons  	the ancestors of the amish came from germany in the 18th century   and now most of the amish live in pennsylvania  lrb  lancaster county  rrb  and ohio   in the united states   they are related to the mennonites  	in the early 18th century   many amish and mennonites immigrated to pennsylvania for a variety of reasons  
4299	koichi ae is a retired japanese football player  	koichi ae  lrb  born 15 april 1976  rrb  is a former japanese football player  	koichi ae is a retired japanese football player  
4300	bacterial contaminants are ubiquitous   and foods left unused too long will often acquire substantial amounts of bacterial colonies and become dangerous to eat   leading to food poisoning  	bacteria are everywhere   and foods left unused too long will often get large amounts of bacterial living in them   it may be dangerous to eat them and lead to food poisoning  	bacterial contaminants are ubiquitous   and foods left unused too long will often get substantial amounts of bacterial colonies and become dangerous to eat   leading to food poisoning  
4301	the philippine revolution  lrb  1896    1898  rrb    called the    tagalog war    by the spanish   was an armed military conflict between the people of the philippines and the spanish colonial authorities which resulted in the secession of the philippine islands from the spanish empire  	the philippine revolution  lrb  1896    1898  rrb  was an armed conflict between the spanish colonial regime and the katipunan  	the philippine revolution was an armed military conflict between the people of the philippines  
4302	renty is a commune in the pas de calais department in the nord pas de calais region of france  	renty is a commune   it is found in the region nord pas de calais in the pas de calais department in the north of france  	renty is a commune in the pas de calais department in the nord pas de calais region of france  
4303	pierre luc gagnon   also known as    plg     lrb  born may 2   1980 in boucherville   canada  rrb    is a canadian professional skateboarder  	pierre luc gagnon   sometimes known as    plg    for short  lrb  born may 2   1980 in boucherville   quebec  rrb  is a canadian professional skateboarder  	pierre luc gagnon is a canadian professional skateboarder  
4304	this is the reason high temperatures kill bacteria and other micro organisms     tissue   breakdown reactions reach such rates that they can not be compensated for and the cell dies  	this is the reason high temperatures kill bacteria and other micro organisms     tissue   breakdown reactions reach such rates that they can not be compensated for and the cell dies  	this is the reason high temperatures kill bacteria and other micro organisms     tissue   breakdown reactions reach such rates that they can not be compensated for and the cell dies  
4305	the combined carrier will take the united airlines name but will use continental  s logo and livery  	the combined airline will take the united airlines name but use continental  s globe and livery  	the airline will use continental  s logo and livery  
4306	principal operations are from its four hubs at newark liberty international airport   george bush intercontinental airport   cleveland hopkins international airport and antonio b  won pat international airport in guam  	principal operations are from its three hubs at newark liberty international airport   george bush intercontinental airport   and cleveland hopkins international airport  	the main operations are from its four hubs at newark liberty international airport   george bush intercontinental airport   cleveland hopkins international airport and antonio  
4307	fr micourt is a commune in the pas de calais department in the nord pas de calais region of france  	fr micourt is a commune   it is found in the region nord pas de calais in the pas de calais department in the north of france  	fr micourt is a commune in the pas de calais department in the nord pas de calais region of france  
4308	john ronald reuel tolkien   cbe  lrb  3 january 1892   2 september 1973  rrb  was an english writer   poet   philologist   and university professor   best known as the author of the classic high fantasy works the hobbit   the lord of the rings   and the silmarillion  	john ronald reuel tolkien  lrb  january 3   1892     september 2   1973  rrb  was a philologist   university professor   and writer   tolkien is best known for his most famous works   the hobbit and the lord of the rings  	john ronald reuel tolkien   cbe  lrb  3 january 1892   2 september 1973  rrb  was an english writer   poet   philologist   and university professor   best known as the author of the classic high fantasy works the hobbit   the lord of the rings   and the silmarillion  
4309	representatives of the professional hockey writers   association vote for the all star team at the end of the regular season  	members of the professional hockey writers   association vote for the all star team at the end of the regular season  	representatives of the professional hockey writers   association vote for the all star team at the end of the regular season  
4310	the usually quoted rule of thumb is that chemical reactions double their rate for each temperature increase of 10 degrees celsius  lrb   c  rrb  because of activation energy barriers become more easily surmounted at higher temperatures  	the usually quoted rule of thumb is that chemical reactions double their rate for each temperature increase of 10 celsius degrees  lrb  c  rrb  because of activation energy barriers become more easily surmounted at higher temperatures  	this is because of activation energy barriers become more easily surmounted at higher temperatures  
4311	first all star team bobby hull  cents stan mikita  cents gordie howe bobby orr  cents tim horton gump worsley second all star team johnny bucyk  cents phil esposito  cents rod gilbert j  c  tremblay  cents jim neilson	first all star team bobby hull  cents stan mikita  cents gordie howe bobby orr  cents tim horton gump worsley second all star team johnny bucyk  cents phil esposito  cents rod gilbert j c  tremblay  cents jim neilson	first hull cents
4312	the nhl all star teams were first named at the end of the 1930     31 nhl season   to honor the best performers over the season at each position  	the nhl all star teams were first named at the end of the 1930     31 nhl season   to honor the best performers over the season at each position  	the nhl all star teams were first named at the end of the 1930     31 nhl season   to honor the best performers over the season at each position  
4313	philip nathan ifil  lrb  born 18 november 1986 in willesden   london  rrb  is an english footballer currently playing for dagenham   redbridge  	philip ifil  lrb  born 18 november 1986  rrb  is an english football player  	philip nathan ifil  lrb    born 18 november 1986 in willesden   london  rrb    is an english footballer  
4314	petrus ferdinandus johannes    pierre    van hooijdonk  lrb  born 29 november 1969  rrb  is a retired dutch football player who played as a striker  	pierre van hooijdonk  lrb  born 29 november 1969  rrb  is a former dutch football player  	van ferdinandus johannes    pierre    van hooijdonk  lrb  born 29 november 1969  rrb  is a retired dutch football player who played as a striker  
4315	mitsugu nomura  lrb  born november 21   1956  rrb  is a former japanese football player  	mitsugu nomura  lrb  born 21 november 1956  rrb  is a former japanese football player  	mitsugu nomura  lrb  born november 21   1956  rrb  is a former japanese football player  
4316	the eurasian lynx  lrb  lynx lynx  rrb  is a medium sized cat native to european and siberian forests   where it is one of the predators  	the eurasian lynx  lrb  lynx lynx  rrb  is a medium sized cat native to europe  lrb  including finland   sweden   norway  rrb  and asia  	the eurasian lynx  lrb  lynx lynx  rrb  is a medium sized cat native to european and siberian forests   where it is one of the predators  
4317	in contrast   if milk already has harmful bacteria   the use by dates become irrelevant  	in contrast   if milk already has harmful bacteria   the use by dates do not matter  	in contrast   if milk already has harmful bacteria   the use by dates become irrelevant  
4318	foster  s home for imaginary friends is an american animated television series created and produced at cartoon network studios and boulder media by animator craig mccracken   creator of the powerpuff girls  	foster  s home for imaginary friends is a children  s cartoon that is shown on cartoon network   it was created by craig mccracken   who also made the powerpuff girls  	foster is an animated television series  
4319	foster  s home for imaginary friends was founded by the elderly madame foster to provide a foster home for abandoned imaginary friends  	in the show  s world   imaginary friends are as real as humans   once the creator decides he or she does not want the imaginary friend anymore   they are sent to live at    foster  s home for imaginary friends      an adoption home for the unwanted imaginary friends  	it was started by the elderly madame  
4320	zinn was swimming in a hotel pool when he died of an apparent heart attack in santa monica   california on january 27   2010  	zinn died of a heart attack while swimming on january 27   2010  	zinn was swimming in a hotel pool when he died of an apparent heart attack in santa monica   california on january 27   2010  
4321	the distance between the tip of the mouthpiece and the tip of the reed is known as the tip opening   the tip opening has little effect on tone   which is more affected by the design of the mouthpiece  s chamber  lrb  interior space  rrb   	the space between the end of the reed and the end of the mouthpiece is called the tip opening  	the opening opening is called the tip opening  
4322	the facing  lrb  or lay  rrb  is a curved section that leaves the flat table and continues to the tip of the mouthpiece   the length of a facing     defined as the distance from the tip of the mouthpiece to the point where the reed and mouthpiece meet     can vary  	the facing  lrb  or lay  rrb  is the part of the reed that starts to curve around the end of the mouthpiece  	the reed is a curved section  
4323	for example   the amber bottle used for many beers blocks damaging wavelengths of light  	for example   the amber bottle used for many beers blocks damaging wavelengths of light  	for example   the amber bottle used for many beers blocks damaging wavelengths of light  
4324	today   as with the saxophone mouthpiece   the reed is placed against the surface  lrb  the table  rrb  closest to the player  s bottom lip  	the reed is placed near the player  s bottom lip   this area is called the table  	the reed is placed on the top edge of the table  
4325	commercial ligatures are commonly made of metal or plastic  	most ligatures are made from metal or plastic  	  are usually made of metal or plastic  
4326	nabringhen is a commune in the pas de calais department in the nord pas de calais region of france  	nabringhen is a commune   it is found in the nord pas de calais region in the pas de calais department in the north of france  	nabringhen is a commune in the pas de calais department in the nord pas de calais region of france  
4327	bathing is the washing or cleansing of the body in a fluid   usually water or an aqueous solution  	bathing is putting the body into a fluid   most often water   or a solution with water  	bathing is a type of insomnia  
4328	max tonetto  lrb  born 18 november 1974 in trieste  rrb  is an italian football defender  	max tonetto  lrb  born 18 november 1974  rrb  is an italian football player  	max tonetto  lrb    born 18 november 1974   is an italian football defender  
4329	winter ascents of certain munros are widely accepted to provide among the most challenging ice climbs in europe  	winter ascent of certain munros are widely accepted to provide among the most challenging ice climbs in europe  	winter ascents of certain munros are widely accepted to provide among the most challenging ice climbs in europe  
4330	despite their relatively modest height compared with some continental ranges   walking and climbing in the scottish mountains may be made treacherous by their latitude and exposure to atlantic and arctic weather systems  	despite their modest height   walking and climbing in the scottish mountains may be made dangerous by their latitude and exposure to atlantic weather systems  	among their relatively modest height compared with some continental ranges   walking and climbing in the scottish mountains may be made treacherous by their latitude and exposure to atlantic and arctic weather systems  
4331	except for infant formula and some baby foods   product dating is not required by federal regulations  	except for infant formula and some baby foods   product dating is not required by federal regulations  	for infant formula and some baby foods   product dating is not required by federal regulations  
4332	even in summer   conditions can be atrocious   thick fog   strong winds   driving rain and freezing summit temperatures are not unusual  	even in summer   conditions can be very bad   thick fog   strong winds   driving rain and freezing summit temperatures are not unusual  	in summer   conditions can be atrocious   thick fog   strong winds   driving rain and freezing summit temperatures are not unusual  
4333	a munro top is a summit over 3 000 ft which is not regarded as a separate mountain  	a munro is a scottish mountain with a height over 3 000 feet  lrb  914 4 metres  rrb   	a munro top is a summit over 3 000 ft which is not regarded as a separate mountain  
4334	some walkers are unprepared for the often extreme weather conditions on the exposed tops and many fatalities are recorded every year   often resulting from slips on wet rock or ice  	some walkers are unprepared for the often extreme weather conditions on the exposed tops and many fatalities are recorded every year   often resulting from slips on wet rock or ice  	many walkers are unprepared for the often extreme weather conditions on the exposed tops and many fatalities are recorded every year  
4335	the most popular types of tokusatsu include kaiju monster movies  lrb  the godzilla and gamera film series  rrb    superhero tv serials  lrb  the kamen rider and metal hero series  rrb    and mecha dramas  lrb  giant robo  rrb    some tokusatsu television programs combine several of these subgenres  lrb  the ultraman and super sentai series  rrb   	some famous tokusatsu features include godzilla   kamen rider   and super sentai  	the most popular type of tokusatsu is kaiju  
4336	tourette syndrome  lrb  also called tourette  s syndrome   tourette  s disorder   gilles de la tourette syndrome   gts or   more commonly   simply tourette  s or ts  rrb  is an inherited neuropsychiatric disorder with onset in childhood   characterized by multiple physical  lrb  motor  rrb  tics and at least one vocal  lrb  phonic  rrb  tic   these tics characteristically wax and wane  	tourette syndrome can also be called tourette  s syndrome   tourette  s disorder   gts   tourette  s   or ts   people that have tourette  s have tics  lrb  movements or sounds that the person can not easily control  rrb   	tourette syndrome  lrb  also called tourette  s syndrome   tourette  s disorder   gilles de la tourette syndrome   gts or   more commonly   simply tourette  s or ts  rrb  is an inherited neuropsychiatric disorder  
4337	tourette  s does not adversely affect intelligence or life expectancy  	people who have tourette  s have a normal life expectancy and normal intelligence  	   s does not affect intelligence or life expectancy  
4338	the entertainment industry has been criticized for depicting those with tourette syndrome as social misfits whose only tic is coprolalia   which has furthered stigmatization and the public  s misunderstanding of those with tourette  s   the coprolalic symptoms of tourette  s are also fodder for radio and television talk shows in the us and in the british media  	tourette syndrome can also be called tourette  s syndrome   tourette  s disorder   gts   tourette  s   or ts  	the entertainment industry has been criticized for showing those with tourette syndrome as social misfits  
4339	the practice rapidly grew in popularity after the anheuser busch company  s heavily marketed    born on dates    starting in 1996  	the practice rapidly grew in popularity after the anheuser busch company  s heavily marketed    born on dates    starting in 1996  	the practice rapidly grew in popularity after the anheuser busch company  s heavily marketed    born on dates    starting in 1996  
4340	pakistan gave huge support to tunisia during its struggle for independence  	people of pakistan always supported tunisia in their struggle of freedom  	pakistan gave huge support to tunisia during its struggle for independence  
4341	the division of peoples into west germanic   east germanic   and north germanic is a modern linguistic classification  	the division of peoples into west germanic   east germanic   and north germanic is a modern linguistic classification  	the division of peoples into west germanic   east germanic   and north germanic is a modern linguistic classification  
4342	in the absence of large scale political unification   such as that imposed forcibly by the romans upon the peoples of italy   the various tribes remained free   led by their own hereditary or chosen leaders  	in the absence of large scale political unification   such as that imposed forcibly by the romans upon the peoples of italy   the various tribes remained free   led by their own hereditary or chosen leaders  	in the absence of large scale political unification   such as that imposed forcibly by the romans upon the peoples of italy   the various tribes remained free   led by their own hereditary or chosen leaders  
4343	these groups all developed separate dialects   the basis for the differences among germanic languages down to the present day  	these groups all developed separate dialects   the basis for the differences among germanic languages down to the present day  	these groups all developed separate dialects   the basis for the differences among germanic languages down to the present day  
4344	however   as for mythology only the scandinavian one  lrb  see germanic mythology  rrb  is sufficiently known   some traces of common traditions between various tribes are indicated by beowulf and the volsunga saga  	the early germanic tribes spoke mutually intelligible dialects   and shared a common culture and mythology  lrb  see germanic mythology  rrb    as is indicated by beowulf and the volsunga saga  	however   as for mythology only the scandinavian one  lrb  see germanic mythology  rrb  is sufficiently known  
4345	the inline four engine is much smoother than one   two   and three cylinder engines   and this has resulted in it becoming the engine of choice for most economy cars   although it can be found in some sports cars as well  	it is smoother than one   two   and three cylinder engines   this makes it popular for economy cars  	the inline four engine is much smoother than one   two   and three cylinder engines  
4346	a rare exception is a case of renal tubular acidosis purportedly caused by expired tetracycline  	a rare exception is a case of renal tubular damage said to have been caused by out of date tetracycline  	a rare exception is a case of renal tubular acidosis  
4347	since then   the inline four has become one of the most common engine configurations in street bikes   outside of the cruiser category   the inline four is simply the most common configuration because of its relatively high performance to cost ratio  	the inline four has become one of the most common engine configurations in street bikes the inline four is common because of its relatively high performance to cost ratio  	since then   the inline four has become one of the most common engine configurations in street bikes  
4348	classic and antique vehicles tended to have larger displacements to develop horsepower and torque  	antique vehicles tended to have larger displacements to develop horsepower and torque  	it has larger displacements to develop horsepower and torque  
4349	this inline engine configuration is the most common in cars with a displacement up to 2 4 l  the usual    practical    limit of the displacement of inline four engines in a car is around 2 7 l  however   porsche used a 3 0 l four in its 944 s2 and 968 sports cars   and rolls royce produced several inline four engines of 2 838 cc with basic cylinder dimensions of 3 5 i diameter and 4 5 i stroke  lrb  rolls royce b40  rrb   	this inline four gasoline configuration is the most common in cars with a displacement  lrb  engine size  rrb  up to 2 4 l  porsche used a 3 0 l four in its 944 s2 and 968 sports cars  	this inline engine configuration is the most common in cars  
4350	the toyota b engine series of diesel engines varies in displacement from 3 0   4 1 l  the largest engine in that series was used in the mega cruiser  	they often exceed 3 0 l  toyota made a 4 1 l diesel engine that was used in the toyota mega cruiser  	the toyota b engine series of diesel engines varies in displacement from 3 0   4 1 l  the largest engine in that series was used in the mega cruiser  
4351	these vibrations become worse as engine size and power increase   so the more powerful engines used in larger cars generally are more complex designs with more than four cylinders  	these vibrations become worse as engine size and power increase   the more powerful engines used in larger cars use different a engine layout to avoid this problem  	these vibrations become worse as engine size and power increase   so the more powerful engines used in larger cars generally are more complex designs with more than four cylinders  
4352	displacement can also be very small   as found in kei cars sold in japan   such as the subaru en series   engines that started out at 550 cc and are currently at 660 cc   with variable valve timing   dohc and superchargers resulting in engines that produce 65 p 	displacement can also be very small   some cars sold in japan have engines that are only 660 cc  	displacement can also be very small  
4353	in a specification chart or when an abbreviation is used   an inline four engine is listed either as i4 or l4  lrb  for longitudinal   to avoid confusion between the digit 1 and the letter i  rrb   	when listed as an abbreviation   an inline four engine is listed either as i4 or l4  lrb  for longitudinal  rrb    l4 is often used to avoid confusion between the digit 1 and the letter i 	in a specification chart or when an abbreviation is used   an inline four engine is listed either as i4 or l4  lrb  for longitudinal   to avoid confusion between the digit 1 and the letter i  rrb   
4354	this design was very influential for racing engines as it featured for the first time dual overhead camshafts  lrb  dohc  rrb  and four valves per cylinder   a layout that would become the standard until today for racing inline four engines  	it was the first to use dual overhead camshafts  lrb  dohc  rrb  and four valves per cylinder   this became the standard design for racing inline four engines  	this design was very influential for racing engines as it featured for the first time dual overhead camshafts  lrb  dohc  rrb  and four valves per cylinder   a layout that would become the standard until today for racing inline four engines  
4355	with john edward and fred offenhauser   miller created a peugeot inspired inline four engine  	with john edward and fred offenhauser   miller created a new engine  	with john edward and fred offenhauser   miller created a peugeot inspired inline four engine  
4356	mbabane   and swaziland itself   depend on tourism and sugar exports  	the economy of mbabane   and swaziland itself   is based on tourism and sugar exports  	    and swaziland itself   depend on tourism and sugar exports  
4357	it is also a commercial hub for the surrounding region   while tin and iron were mined nearby  	it is also the commercial center for the surrounding region   tin and iron are mined nearby  	it is also a commercial hub for the surrounding region   while tin and iron were mined nearby  
4358	karlsruhe is also the home of the forschungszentrum karlsruhe  lrb  research center karlsruhe  rrb    at which engineering and scientific research is performed in the areas of health   earth and environmental sciences   and karlsruhe university of applied sciences  lrb  hochschule karlsruhe hs  rrb    the largest university of technology in the state of baden w  1  4 rttemberg   offering both professional and academic education in engineering sciences and business  	karlsruhe is a city in the south west of germany   in the state of baden w  1  4 rttemberg   karlsruhe has about 285 000 inhabitants and a technical university  	karlsruhe is also the home of the forschungszentrum karlsruhe  lrb  research center karlsruhe  rrb   
4359	in 1772 jean andr  deluc studied the several substances then used in thermometers in the light of new theories of heat and came to the conclusion that mercurial thermometers were the best for practical use   for example   if two equal amounts of water at x and y degrees were mixed   the temperature of the result was then the average of x and y degrees   and this relationship only held reliably when mercury was used  	in 1772 jean andr  deluc studied the several substances used in thermometers at the time   at the time   new theories of heat were being developed  	in 1772 jean andr  deluc studied the several substances then used in thermometer in the light of new theories of water  
4360	nearly all chemical reactions will occur  lrb  at various rates depending on the individual nature of the reaction  rrb  at common temperatures  	nearly all chemical reactions will occur  lrb  at various rates depending on the individual nature of the reaction  rrb  at common temperatures  	nearly is a chemical reaction  
4361	from the late 18th century mercury was used almost without exception  	from the late 18th century   almost all thermometers used mercury   for this reason  	from the late 18th century mercury was used almost without exception  
4362	he is known as the father of genetic algorithms  	he is known as the father of genetic algorithms  	he is known as the father of genetic algorithms  
4363	hurtova lhota is a village in the havl  k v brod district   vyso ina region of the czech republic  	hurtova lhota is a village in the havl  k v brod district   vyso ina region of the czech republic  	hurtova lhota is a village in the havl  k v brod district   vyso ina region of the czech republic  
4364	a private company with headquarters just north of toronto in woodbridge   ontario   it is now run by elderly sam and his son howard  	a private company with headquarters just north of toronto in woodbridge   ontario   it is now run by the founder  s grandson   hoard ganz  	a private company with headquarters just north of toronto in woodbridge   ontario   it is now run by elderly sam and his son howard  
4365	founded in 1950 by holocaust survivors samuel ganz and his sons jack ganz and sam ganz   it was called ganz bros   	founded in toronto 1950 by holocaust survivors samuel ganz and his sons jack ganz and sam ganz   it was called ganz bros   	it was founded in 1950 by holocaust survivors samuel ganz  
4366	crimmitschau has a well known ice hockey club   the etc crimmitschau   which plays in the second highest german league   the city also has a soccer team   fc crimmitschau and an american football team   the tornados crimmitschau  	the first documentation of crimmitschau is from 1212  	crimmitschau has a well known ice hockey club   the etc crimmitschau  
4367	wonderland is the second album by the british pop band mcfly   and a follow up to their debut album room on the 3rd floor  	wonderland is the second album by the british pop band mcfly   it followed their debut album room on the 3rd floor  	wonderland is the second album by the british pop band mcfly  
4368	iron ridge is a village in dodge county   wisconsin   united states  	iron ridge is a village of dodge county in the state of wisconsin in the united states  	iron ridge is a village in dodge county   wisconsin   united states  
4369	the awards have been televised for the past several years on tnt   but now also airs on tbs  	the awards have been televised for the past several years on tnt   but now also airs on tbs  	the awards have been televised for the past several years on tnt   but now also airs on tbs  
4370	it is 16 inches tall   weighs over 12 pounds   cast in solid bronze   and produced by the american fine arts foundry in burbank   california  	it is 16 inches tall   weighs over 12 pounds   cast in solid bronze   and produced by the american fine arts foundry in burbank   california  	it is 16 inches tall  
4371	the statuette given   representing a naked man holding both a mask of comedy and a mask of tragedy   is called    the actor     	the statuette given   a nude male figure holding both a mask of comedy and a mask of tragedy   is called    the actor     	the statuette given   representing a naked man holding both a mask of comedy and a mask of tragedy   is called    the actor     
4372	a screen actors guild award is an accolade given by the screen actors guild  lrb  sag  rrb  to recognize outstanding performances by its members  	a screen actors guild award is an award given by the screen actors guild  lrb  sag  rrb  to recognize outstanding performances by its members  	a screen actors guild award is an award given by the screen actors guild  lrb  sag  rrb  to recognize outstanding performances by its members  
4373	it can be affected by light   air   or the action of bacteria  	it can be affected by light   air   or the action of bacteria  	it can be affected by light   air   or the action of bacteria  
4374	nihat kahveci  lrb  born 23 november 1979 in istanbul   turkey  rrb  is a turkish footballer currently playing for be ikta and for the turkish national team   making his debut for turkey in 2000 against sweden  	nihat kahveci  lrb  born 23 november 1979  rrb  is a turkish football player   he plays for be ikta and turkey national team  	nihat kahveci  lrb    born 23 november 1979 in istanbul   turkey   is a turkish footballer  
4375	this is the default state     no further parameters are needed  	this is the default state   no further parameters are needed  	this is the default state     no further parameters are needed  
4376	think of it as 12 rows   one for each month   with left column for minimum temperature   middle column for maximum temperature and right column for precipitation  	think of it as 12 rows   one for each month   with 3 columns for minimum temperature   maximum temperature and precipitation  	there are 12 rows of precipitation  
4377	  source   supply the source of your data	  source supply the source of your data	  source   supply the source of your data your data  
4378	one species   the northern fur seal  lrb  callorhinus ursinus  rrb  inhabits the north pacific   while seven species in the arctocephalus genus are found primarily in the southern hemisphere  	one species   the northern fur seal  lrb  callorhinus ursinus  rrb  inhabits the north pacific   while seven species in the arctocephalus genus are found primarily in the southern hemisphere  	there are four species in the arctocephalus genus  
4379	such an asic is often termed a soc  lrb  system on a chip  rrb    designers of digital asics use a hardware description language  lrb  hdl  rrb    such as verilog or vhdl   to describe the functionality of asics  	designers of asic use a hardware description language  lrb  hdl  rrb  such as verilog or vhdl to describe the functionality of asic  	an asic is a description description  rrb   rrb   
4380	full custom design is used for both asic design and for standard product design  	design of asic is gate array design   cell base design   embedded array design   standard cell design   and structured asic design  	  design is used for both asic design and for standard product design  
4381	he played professional club football in ecuador   mexico and england  	he has played for ecuador national team  	he played football in ecuador   mexico and england  
4382	agust n javier delgado chal  lrb  born december 23   1974 in ambuqu   imbabura  rrb  is a retired ecuadorian footballer  	agust n delgado  lrb  born 23 december 1974  rrb  is an ecuadorian football player  	agust n javier delgado chal  lrb    born december 23   1974 in ambuqu   imbabura  rrb  is a retired ecuadorian football player  
4383	pioneer 10 and pioneer 11 carry a gold anodized aluminium plaque in the event that either spacecraft is ever found by intelligent life forms from other planetary systems  	the other plaque was on pioneer 11  	a gold anodized is a type of aluminium  
4384	sirach   by the jewish scribe ben sira of jerusalem   also known as wisdom of jesus son of sirach   the wisdom of ben sira   or ecclesiasticus   is a work from the early 2nd century bc  	sirach   by ben sira   which is also known as wisdom of jesus son of sirach   the wisdom of ben sira   or ecclesiasticus   is a work from the early second century bc   its original version being written in hebrew  	sirach   by the jewish scribe ben sira of jerusalem   also known as wisdom of jesus son of sirach   the wisdom of ben sira   or ecclesiasticus   is a work from the early 2nd century bc  
4385	the expiration date of pharmaceuticals specifies the date the manufacturer guarantees the full potency and safety of a drug   most medications are potent and safe after the expiration date  	if drugs are used within the expiration date   the manufacturer guarantees that they work as expected  	the expiration is a type of drug  
4386	it was established as a second title for tag teams in wwe in 2002 to complement the original world tag team championship  	brand without a tag team title   as a result   smackdown general manager stephanie mcmahon   introduced the new    wwe tag team championship    and made it the tag team title for the smackdown  	it was established as a second title for tag teams in wwe in 2002  
4387	the tag team championship became exclusive to the raw brand   leaving the smackdown  	the tag team championship became apart of the raw brand only   leaving the smackdown  	the tag team championship became exclusive to the raw brand   leaving the smackdown  
4388	in late 2008 through early 2009   wwe tag team champions the col ns  lrb  carlito and primo  rrb  engaged in rivalry with the world tag team champions john morrison and the miz   which resulted in the announcement on the march 17 edition of ecw that at wrestlemania xxv both teams would defend their titles against each other and the winning team would hold both titles  	in late 2008 through early 2009   wwe tag team champions the col ns  lrb  carlito and primo  rrb  engaged in rivalry with the world tag team champions john morrison and the miz   which resulted in the announcement on the march 17 edition of ecw that at wrestlemania xxv both teams would fight for their titles against each other and the winning team would hold both titles  	in late 2008 through early 2009   wwe tag team champions the col ns  lrb  carlito and primo  rrb  engaged in rivalry with the world tag team champions john morrison and the miz  
4389	originally a part of the smackdown brand after the company  s initial brand extension in the spring of 2002   the tag team championship was reassigned to appear and be defended on the raw brand that following summer  	originally a part of the smackdown brand after the company  s first brand extension in the spring of 2002   the tag team championship was moved to the raw brand that following summer  	the tag team championship was reassigned to appear and be defended on the raw brand that following summer  
4390	as the unified wwe tag team championship   the champions could appear on and defend the titles on any wwe brand  	the champions could appear on and defend the titles on any wwe brand  	as the unified wwe tag team championship   the champions could appear on and defend the titles on any wwe brand  
4391	after the brand extension in world wrestling entertainment   the wwe undisputed championship and wwe women  s championship became the only titles allowed to be defended on both the raw and smackdown  	after the brand extension in world wrestling entertainment   the wwe undisputed championship and wwe women  s championship became the only titles allowed to be fought for on both the raw and smackdown  	after the brand extension in world wrestling entertainment   the wwe undisputed championship and wwe women  s championship became the only titles allowed to be defended on both the raw and smackdown  
4392	the world wrestling entertainment  lrb  wwe  rrb  tag team championship is a professional wrestling world tag team championship in world wrestling entertainment   it was established as a second title for tag teams in wwe in 2002 to complement the original world tag team championship  	the wwe tag team championship is the professional wrestling world tag team championship of wwe   and it  s shared by both brands  	it is a professional wrestling world tag team championship  
4393	shelf life is different from expiration date   the former relates to food quality   the latter to food safety  	shelf life is different from expiration date   shelf life is linked to food quality   expiration date to food safety  	shelf life is different from expiration date   the former relates to food quality   the latter to food safety  
4394	on october 20   2002   the team of kurt angle and chris benoit defeated rey mysterio and edge at no mercy 2002 in the tournament final to become the first ever wwe tag team champions  	on october 20   2002   the team of kurt angle and chris benoit beat rey mysterio and edge at no mercy 2002 in the tournament final to become the first ever wwe tag team champions  	on october 20   2002   the team of kurt angle and chris benoit defeated rey mysterio and edge at no mercy 2002 in the tournament final to become the first ever wwe tag team champions  
4395	it was established as a second title for tag teams in wwe in 2002 to complement the original world tag team championship   both titles were unified in 2009 and were collectively referred to as the unified wwe tag team championship while essentially remaining independently active until the world tag team championship was decommissioned in 2010  	for the original wwe tag team championship that was active from 1971 through 2010   see world tag team championship  lrb  wwe  rrb   	it was established as a second title for tag teams in wwe in 2002  
4396	as a result   smackdown general manager stephanie mcmahon   introduced the new    wwe tag team championship    and commissioned it to be the tag team title for the smackdown  	as a result   smackdown general manager stephanie mcmahon   introduced the new    wwe tag team championship    and made it the tag team title for the smackdown  	as general manager stephanie mcmahon   introduced the new    wwe tag team championship     
4397	on august 16   2010   the world tag team championship was decommissioned in favor of continuing the lineage of the wwe tag team championship following the presentation of new championship belts to then champions david hart smith and tyson kidd of the hart dynasty  	though eventually   on august 16   2010   the world tag team championship was retired in favor of continuing the history of the wwe tag team championship following the introduction of new championship belts to then champions david hart smith and tyson kidd of the hart dynasty  	on august 16   2010   the world tag team championship was decommissioned in favor of continuing the lineage of the wwe tag team championship following the presentation of new championship belts to then champions david hart smith and tyson kidd of the hart dynasty  
4398	brand without a tag team title  	brand without a tag team title  	brand without a tag team title  
4399	this particular one is most applicable to reactions with activation energy values around 50 kj  mole   many of these are important at the usual temperatures we encounter  	this particular one is most applicable to reactions with activation energy values around 50 kj  mole   many of these are important at the usual temperatures we encounter  	this particular one is most applicable to reactions with activation energy values around 50 kj  mole   many of these are important at the usual temperatures we encounter  
4400	gdp can be contrasted with gross national product  lrb  gnp  rrb  or gross national income  lrb  gni  rrb   	this measure is different from gross national product  lrb  gnp  rrb  in that gnp   gdp   net income from assets abroad  lrb  net income receipts  rrb   	gdp can be contrasted with gross national product  lrb  gnp  rrb  or gross national income  lrb  gni  rrb   
4401	gdp is an aggregate figure which does not account for differing sizes of nations   therefore   gdp can be stated as gdp per capita  lrb  per person  rrb  in which total gdp is divided by the resident population on a given date   gdp per citizen where total gdp is divided by the numbers of citizens residing in the country on a given date   and less commonly gdp per unit of a resource input   such as gdp per gj of energy or gross domestic product per barrel  	while nominal gdp is the total amount of money spent on gdp   real gdp  lrb  like real in most economic meaning  rrb  tries to correct this number for inflation  	gdp is an aggregate figure which does not account for differing sizes of nations  
