0	it is the county seat of alfalfa county  	it is the county seat of alfalfa county  	it is the county seat of alfalfa county  
5842	pistoia remained a florentine holding except for a brief period in the 14th century   when castruccio castracani captured it for lucca   and was officially annexed to florence in 1530  	pistoia stayed a florentine city except for few years in the 14th century   when castruccio castracani captured it for lucca   it was annexed to  lrb  made a part of  rrb  florence in 1530  	pistoia remained a florentine holding except for a brief period in the 14th century   when  unk   unk  captured it for lucca   and was officially annexed to florence in 1530  
5843	seven  s administration headquarters are based in a converted warehouse at jones bay wharf in pyrmont   sydney  	seven network  s studio headquarters are in a converted warehouse at jones bay wharf in pyrmont   sydney  	seven  s administration headquarters are based in a converted warehouse at jones bay wharf in  unk    sydney  
5844	the seven network  lrb  commonly known as channel seven or simply seven  rrb  is an australian television network owned by the seven media group   chaired by largest shareholder kerry stokes  	seven network  s main shareholder is kerry stokes  	the seven network  lrb  commonly known as channel seven or simply seven  rrb  is an australian television network owned by the seven media group  
5845	in the past   the distinction between x rays and gamma rays was based on energy  lrb  or equivalently frequency or wavelength  rrb    with gamma rays being considered a higher energy version of x rays  	gamma rays are like x rays  	in the past   the distinction between determination and gamma rays was based on energy  lrb  or equivalently frequency or wavelength  rrb    with gamma rays being considered a flagellated version of x rays  
5846	the only difference is the frequency and hence the energy of the photons   gamma rays are generally the most energetic of these   although broad overlap with x ray energies occurs  	both gamma rays and x rays are photons with very high energies  	gamma rays is the frequency and the energy of the photons  
5847	the two types of radiation are now usually distinguished by their origin   x rays are emitted by electrons outside the nucleus   while gamma rays are emitted by the nucleus  	gamma rays and x rays are now usually distinguished by their origin   x rays are emitted by electrons outside the nucleus   while gamma rays are emitted by the nucleus  	the two types of radiation are now usually distinguished by their origin   x rays are emitted by electrons outside the nucleus   while gamma rays are emitted by the nucleus  
5848	gamma radiation   also known as gamma rays  lrb  denoted as  rrb    is electromagnetic radiation of high frequency  lrb  very short wavelength  rrb   	gamma rays are also a type of radiation  	gamma rays   also known as gamma rays   is a small radiation of high frequency  lrb  very short wavelength  rrb   
5849	paul villard   a french chemist and physicist   discovered gamma radiation in 1900   while studying radiation emitted from radium   alpha and beta    rays    had already been separated and named by the work of ernest rutherford in 1899   and in 1903 rutherford named villard  s distinct new radiation    gamma rays     	they were discovered in 1900 by paul villard   and named in 1903 by ernest rutherford  	the french chemist and physicist   discovered gamma radiation in 1900  
5850	despite their cancer causing properties   gamma rays are also used to treat some types of cancer   since the rays kill cancer cells also  	gamma rays can also go through the skin to kill cells   such as cancerous cells   doctors can use machines which produce gamma rays in hospitals to treat people with some types of cancer  	gamma rays are also used to treat some types of cancer   since the rays kill cancer cells also  
5851	la pommeraie sur s  vre is a commune in the vend e department in the pays de la loire region in western france  	it is found in the region pays de la loire in the vend e department in the west of france  	la  unk   vre is a commune   it is found in the region pays de la loire in the vend e department in the west of france  
5852	  judge dredd  lrb  dc comics  rrb  dc comics published an alternative version of judge dredd between 1994 and 1995   lasting 18 issues   continuity and history were different to both the original 2000 ad version and the 1995 film  	a film based on judge dredd was made in 1995   starring sylvester stallone  	it was released in 1994  
5853	judge joe dredd is a comics character whose strip in the british science fiction anthology 2000 ad is the magazine  s longest running  lrb  having been featured there since its second issue in 1977  rrb   	judge dredd is a comic book character that first appeared in 2000 ad comics in 1977  	judge joe  unk  is a character  s longest running  lrb  having been featured there since its second issue in 1977  rrb   
5854	while the first film dealt with kenai  s relationship with koda   this one focuses more on his bond with a young human   nita  	while the first movie dealt with kenai  s relationship with koda   this one focuses more on his bond with a young human   nita  	while the first film dealt with kenai  s relationship with koda   this one focuses more on his bond with a young human    unk   
5855	brother bear 2 is a direct to video sequel to the animated feature brother bear and was released on dvd on august 29   2006  	brother bear 2 is a 2006 disney animated movie   released direct to video on august 29   2006   and the sequel to disney  s animated feature movie brother bear  	brother bear 2 is a direct to video sequel to the animated feature brother bear and was released on dvd on august 29   2006  
5856	in the film   the adventures of bear brothers kenai and koda continue  	in the movie   the adventures of bear brothers kenai and koda continue  	in the film   the adventures of bear brothers kenai and koda continue  
5857	melissa etheridge contributed three songs to the film  	melissa etheridge contributed wrote the movie  s three songs  	melissa  unk  contributed three songs to the film  
5858	the diocese remained unchanged until 1876   when the former archdeaconry of cornwall became the independent diocese of truro  	before the founding of the diocese of truro in 1876 the whole of cornwall was also part of the diocese of exeter  	the diocese remained unchanged until 1876   when the former  unk  of cornwall became the independent diocese of truro  
5859	the highly pure nickel produced by this process is known as carbonyl nickel  	this nickel is not pure  	it is made by reacting nickel and nickel  
5860	the american   nickel   five cent coin is 75   copper and 25   nickel  	only about 75   of it is nickel  	the american   nickel    unk  coin is 75   copper and 25   nickel  
5861	nickel is pre eminently an alloy metal   and its chief use is in the nickel steels and nickel cast irons   of which there are many varieties   it is also widely used in many other alloys   such as nickel brasses and bronzes   and alloys with copper   chromium   aluminium   lead   cobalt   silver   and gold  	nickel is used in metal alloys  	nickel is also used in many other alloys  
5862	nickel is reacted with carbon monoxide at around 50  c to form volatile nickel carbonyl  	nickel can be made purer   it can react with carbon monoxide to make nickel carbonyl   a gas when warm  	nickel is reacted with carbon monoxide at around 50  c to form volatile nickel  
5863	the nickel carbonyl decomposes   depositing pure nickel onto the nickel spheres  	nickel  lrb  ii  rrb  oxide is normally dark green   but sometimes it is gray   this is because some of the nickel is in the  3 oxidation state  lrb  nickel  lrb  iii  rrb   	it is made from nickel and nickel  
5864	the engine of the only aircraft that could quickly deliver the medicine was frozen and would not start   after considering all of the alternatives   officials decided to move the medicine by sled dog  	the only aircraft that could quickly deliver the medicine was taken out of winter storage   but its engine was frozen and would not start   after considering alternatives   officials decided to move the medicine by sled dog  	after considering all of the alternatives   officials decided to move the medicine by sled dog  
5865	any impurities remain solid while the nickel carbonyl gas passes into a large chamber at high temperatures in which tens of thousands of nickel spheres   called pellets   are constantly stirred   the nickel carbonyl decomposes   depositing pure nickel onto the nickel spheres  	the nickel carbonyl is blown into nickel pellets   where it coats the pellets with pure nickel and puts out carbon monoxide  	it is made from nickel and nickel  
5866	according to professor lars dencik   from the university of roskilde   the danish state used the opportunity of this evacuation to test its anti terrorist security forces  lrb  as any other opportunity   or real danger   was non existent  rrb   	according to professor lars dencik   from the university of roskilde   the danish state used the opportunity of this evacuation to test its anti terrorist security forces  lrb  as any other opportunity   or real danger   was non existent  rrb   	according to professor lars  unk    from the university of  unk    the danish state used the opportunity of this evacuation to test its  unk  security forces  lrb  as any other opportunity   or real danger   was non existent  rrb   
5867	since the eviction in march 2007   former users and supporters held weekly demonstrations for a new ungdomshuset   the demonstrations initially starting from nearby square   bl g rds plads    lrb  and later gammel torv  rrb  every thursday at 5 p m  and going to various places in copenhagen   the starting point being later changed to gammel torv in downtown copenhagen as demonstrators said they were getting closer to the politicians concerning a solution for a new ungdomshus at an old school  	ever since the eviction in march 2007   former users and supporters have held weekly demonstrations for a new ungdomshuset   the demonstrations starting from nearby square   bl g rds plads   every thursday at 5 p m  and going to various places in copenhagen   the starting point has recently been changed to gammel torv in response to the demonstraters saying they are getting closer to the politicians concerning a solution for a new ungdomshus at an old school  	since the  unk  in march 2007   former users and supporters held weekly demonstrations for a new  unk    the demonstrations initially starting from nearby square    unk  g  unk   unk     lrb  and later  unk   unk   rrb  every thursday at the old school  
5868	the gas   known as ferret 40   was used against crowds during the riots following the demolition   although the launching mechanism is designed to penetrate doors and walls  	the gas   known as ferret 40   was used against crowds during the riots following the demolition   although it is designed to penetrate doors and walls  	the gas   known as  unk  40   was used against crowds during the riots following the demolition   although the launching mechanism is designed to penetrate doors and walls  
5869	since labor organizations were unpopular in the eyes of the authorities   and reprisals were often carried out against them   the organizations had to build their own headquarters    folkets hus was the fourth of these to be built  	since labor organizations were unpopular in the eyes of the authorities  	since labor organizations were unpopular in the eyes of the authorities  
5870	the roots of several demonstrations and meetings were planted in folkets hus   and as a result it was strongly linked to the great demonstration against unemployment in 1918 when workers stormed the danish stock exchange  lrb  b rsen  rrb   	in 1918 when workers stormed the danish stock exchange  lrb  b rsen  rrb   	the roots of several demonstrations and meetings were planted in kryvyi  unk    and as a result it was strongly linked to the great demonstration against unemployment in 1918 when workers stormed the danish stock exchange  lrb  b  unk   rrb   
5871	the house functioned as one of the resorts for the then incipient labor movement of copenhagen  	the house functioned as one of the resorts for the then incipient labor movement of copenhagen  	the house functioned as one of the resorts for the  unk  labor movement of copenhagen  
5872	roberto de assis moreira   commonly known as assis  lrb  born january 10   1971  rrb    is a former footballer who is the brother   manager   agent and adviser of brazilian footballer ronaldinho  	roberto de assis moreira  lrb  born 10 january 1971  rrb  is a former brazilian football player  	roberto de assis moreira  lrb  born 10 january 1971  rrb  is a former brazilian football player  
5873	the new work included the extension of the military appearance of the house   though it never had any military significance  	the new work included the extension of the military appearance of the house   though it never had any military use  	the new work included the extension of the military appearance of the house   though it never had any military significance  
5874	the hon   gerald lascelles   younger son of mary   the princess royal  lrb  daughter of king george v  rrb  was the tenant 1956 1975   on a 99 year lease   and restored the gardens  lrb  adding a swimming pool   and tennis court  rrb   	the hon   gerald lascelles   younger son of mary   the princess royal  lrb  daughter of king george v  rrb  was the tenant 1956 1975   on a 99 year lease   he restored the gardens   and added a swimming pool   and tennis court  	edward  unk    younger son of mary   the princess royal  lrb  daughter of king george v  rrb  was the tenant  unk    on a 99 year lease   and restored the gardens  lrb  adding a swimming pool   and tennis court  rrb   
5875	the ruins in the grounds can be seen from the shore of virginia water and are part of an ancient temple brought from leptis magna near tripoli  	the ruins in the grounds can be seen from the shore of virginia water and are part of an ancient temple brought from leptis magna near tripoli  	the ruins in the grounds can be seen from the shore of virginia water and are part of an ancient temple brought from  unk  magna near  unk   
5876	the ruins are located between the south shore and blacknest road close to the junction with the a30 london road and wentworth drive  	the ruins are located between the south shore and blacknest road close to the junction with the a30 london road and wentworth drive  	the ruins are located between the south shore and  unk  road close to the junction with the  unk  london road and wentworth drive  
5877	the property remains in the ownership of the crown   and is currently occupied by private tenants   canadian businessman galen weston and his wife hilary weston   the former lieutenant governor of ontario  	fort belvedere is still owned by the crown   and is now occupied by private tenants   canadian businessman galen weston and his wife hilary weston   the former lieutenant governor of ontario  	the property remains in the ownership of the crown   and is currently occupied by private  unk    canadian businessman galen weston and his wife hilary weston   the former  unk  of ontario  
5878	the fort became the setting of the abdication crisis during 1936   when edward abdicated the throne following the british and dominion governments   opposition to his marriage to wallis simpson  	the fort became the setting of the abdication crisis during 1936   when edward abdicated the throne following the british and dominion governments   opposition to his marriage to wallis simpson  	the fort became the setting of the abdication crisis during 1936   when edward abdicated the throne following the british and dominion governments   opposition to his marriage to wallis simpson  
5879	the crown estate commissioners remain the owners of the freehold   as the property is still part of the great park  	the crown estate commissioners remain the owners of the freehold   as the property is still part of the great park  	the crown estate commissioners remain the owners of the  unk    as the property is still part of the great park  
5880	in january 1925   doctors realized that a potentially deadly diphtheria epidemic was poised to sweep through nome  s young people  	in january 1925   doctors realized that a potentially deadly diphtheria epidemic was poised to sweep through nome  s young people  	in january 1925   doctors realized that a potentially deadly diphtheria epidemic was  unk  to sweep through nome  s young people  
5881	during world war ii   the fort was used by the office of the commissioners of crown lands   having been evacuated from their central london offices  	during world war ii   the fort was used by the office of the commissioners of crown lands   which had been evacuated from their central london offices  	during world war ii   the fort was used by the office of the commissioners of crown lands   having been evacuated from their central london offices  
5882	more recently the house has been home to galen weston   the canadian owner of selfridges plc  lrb  and whose wife hilary was lieutenant governor of ontario 1996 2001  rrb   	more recently the house has been home to galen weston   the canadian owner of selfridges plc  lrb  and whose wife hilary was lieutenant governor of ontario 1996 2001  rrb   	more recently the house has been home to galen weston   the canadian owner of  unk  plc  lrb  and whose wife hilary was lieutenant governor of ontario  unk   rrb   
5883	the triangular turreted structure was set amidst a dense plantation of trees and overlooked virginia water   a man made body of water constructed by thomas and paul sandby at the behest of the duke  	the triangular turreted structure was set in a dense plantation of trees and overlooked virginia water   a man made body of water constructed by thomas and paul sandby at the request of the duke  	the triangular  unk  structure was set amidst a dense plantation of trees and overlooked virginia water   a man made body of water constructed by thomas and paul  unk  at the request of the duke  
5884	sir jeffrey wyattville   who was responsible for the rebuilding of windsor castle under george iv   enlarged the house in 1828   for use as a hunting lodge  	sir jeffrey wyattville   who was responsible for the rebuilding of windsor castle under george iv   enlarged the house in 1828   for use as a hunting lodge  	sir jeffrey  unk    who was responsible for the rebuilding of windsor castle under george iv   enlarged the house in 1828   for use as a hunting lodge  
5885	with addition to local sports   swabi people also made their name on national and international basis   the local sports represent the culture of swabi   however   cricket   volleyball   and football are the national games which are played in swabi  	the city of swabi is the capital  	 unk  is a city of illinois in the united states  
5886	yas island was named the world  s leading tourism project at the world travel awards in november 2009  	yas island was named the world  s leading tourism project at the world travel awards in november 2009  	yas island was named the world  s leading tourism project at the world travel awards in november 2009  
5887	in 1766 he married maria elizabeth colomb   the widow of baron von hollwede   and they had two sons  	he married maria elizabeth von colomb in 1766  	in 1766 he married maria elizabeth  unk    the widow of baron von  unk    and they had two sons  
5888	movie world   a movie theme park by warner bros   ferrari world   hotels including yas marina hotel   a water park   and yas mall   the abu dhabi destination retail development of 300 000 sq m retail area   links and parkland golf courses   lagoon hotels   marinas   polo clubs   apartments   villas and food and beverage outlets that will create a tourist destination  	the ferrari theme park   ferrari world abu dhabi   hotels including yas marina hotel  	movie world   a movie theme park by warner bros   ferrari world   hotels including jesselton marina hotel   a water park   and yas mall   the abu dhabi destination retail development of 300 000 sq m stores area   links and  unk  golf courses   lagoon hotels    unk    polo clubs   siena   clothing and food and beverage outlets that will create a tourist place  
5889	doncaster rovers football club is an english football club   based at the keepmoat stadium in doncaster   south yorkshire  	doncaster rovers f c  are an english football club  	doncaster rovers f c  is a football club which plays in england  
5890	claude davis  lrb  born 6 march 1979  rrb  is a jamaican footballer who plays as a center back  	claude davis  lrb  born 6 march 1979  rrb  is a jamaican football player  	claude davis  lrb  born 6 march 1979  rrb  is a jamaican football player  
5891	he is currently playing for crystal palace	he plays for crystal palace and jamaica national team  	he plays for crystal palace and jamaica national team  
5892	takaya oishi  lrb  born 7 july 1972  rrb  is a former japanese football player  	takaya oishi  lrb  born 7 july 1972  rrb  is a former japanese football player  	takaya oishi  lrb  born 7 july 1972  rrb  is a former japanese football player  
5893	idle hands is a 1999 horror comedy film directed by rodman flender   written by terri hughes and ron milbauer   and starring devon sawa   seth green   elden henson   jessica alba   and vivica a  fox  	idle hands is a 1999 comedy    horror movie starring devon sawa   seth green   and jessica alba with elden henson and vivica a  fox  	idle hands is a 1999 comedy movie starring devon  unk    seth green    unk  henson   jessica alba   and  unk  a  fox  
5894	the main plot follows the life of an average lazy stoner teenager   anton tobias  lrb  portrayed by sawa  rrb    whose hand becomes possessed and goes on a killing spree   even after being cut off from his arm  	it follows the life of a teen whose hand becomes possessed and goes on a killing spree   even after being cut off from his arm  	the main plot follows the life of an average  unk  certificate teenager   anton tobias  lrb  played by  unk   rrb    whose hand becomes possessed and goes on a killing  unk    even after being cut off from his arm  
5895	the humboldt tropical medicine institute at cayetano heredia university   lima   peru   was named after alexander von humboldt   as well as humboldt state university in arcata   california   alexander von humboldt school in mexico city   several german schools  lrb  including humboldt university of berlin  rrb  are named after alexander  s brother wilhelm  	humboldt was born in berlin   his father   alexander georg von humboldt   was a major in the prussian army  	the humboldt was named after alexander von humboldt  
5896	other organs which are not so well known for their endocrine activity include the stomach   which produces such hormones as ghrelin  	other organs which are not so well known for their endocrine activity include the stomach   which produces such hormones as ghrelin  	other organs which are not so well known for their endocrine activity include the stomach   which produces such hormones as  unk   
5897	the main endocrine glands include the pituitary gland   pancreas   ovaries   testes   thyroid gland   and adrenal glands  	the main endocrine glands include the pituitary gland   the pancreas   the gonads   the thyroid gland and the adrenal glands  	the main endocrine glands are the pituitary gland   the pancreas   and the adrenal glands  
5898	endocrine glands are glands of the endocrine system that secrete their products   hormones   directly into the blood rather than through a duct  	endocrine glands are glands that secrete their product  lrb  hormones  rrb  directly into the blood   this group contains the glands of the endocrine system  	endocrine glands are glands of the endocrine system that produce their products   hormones   directly into the blood rather than through a duct  
5899	ethology is a combination of laboratory and field science   with a strong relation to certain other disciplines     e g    neuroanatomy   ecology   evolution  	ethology is a combination of laboratory and field science   with a strong relation to certain other disciplines     e g    neuroanatomy   ecology   evolution  	ethology is a combination of laboratory and field science   with a strong relation to certain other disciplines     e g     unk    ecology   evolution  
5900	hunger and eating are evolutionarily ancient and are found in many species  lrb  evolutionary history  rrb    and develop early within an organism  s lifespan  lrb  development  rrb   	hunger and eating are evolutionarily ancient and are found in many species  lrb  evolutionary history  rrb    and develop early within an organism  s lifespan  lrb  development  rrb   	hunger and eating are evolutionarily ancient and are found in many species  lrb  evolutionary history  rrb    and develop early within an organism  s lifespan  lrb  development  rrb   
5901	for example   the function of eating is to acquire nutrients  lrb  which ultimately aids survival and reproduction  rrb    but the immediate cause of eating is hunger  lrb  causation  rrb   	for example   the function of eating is to acquire nutrients  lrb  which ultimately aids survival and reproduction  rrb    but the immediate cause of eating is hunger  lrb  causation  rrb   	for example   the function of eating is to acquire nutrients  lrb  which ultimately aids survival and reproduction  rrb    but the immediate cause of eating is hunger  lrb  causation  rrb   
5902	lorenz popularized faps as instinctive responses that would occur reliably in the presence of identifiable stimuli  lrb  called sign stimuli or releasing stimuli  rrb   	lorenz popularized faps as instinctive responses that would occur reliably in the presence of specific stimuli  lrb  called sign stimuli or releasing stimuli  rrb   	lorenz popularized  unk  as instinctive responses that would occur reliably in the presence of identifiable stimuli  lrb  called sign stimuli or releasing stimuli  rrb   
5903	although many naturalists have studied aspects of animal behavior throughout history   the modern discipline of ethology is generally considered to have begun during the 1930s with the work of dutch biologist nikolaas tinbergen and austrian biologists konrad lorenz and karl von frisch   joint winners of the 1973 nobel prize in physiology or medicine  	the next generation began during the 1930s with the work of austrian biologists konrad lorenz and karl von frisch   and the dutch biologist niko tinbergen   the three men were joint winners of the nobel prize in physiology or medicine for 1973  	although many  unk  have studied aspects of animal behavior throughout history   the modern discipline of ethology is generally considered to have begun during the 1930s with the work of dutch biologist lifeboat societies tinbergen and austrian biologists konrad lorenz and karl von frisch   joint winners of the 1973 nobel prize in physiology or medicine  
5904	it is easy to confuse such questions   for example to argue that people eat because they  re hungry and not to acquire nutrients   without realizing that the reason people experience hunger  lrb  causation  rrb  is because it causes them to acquire nutrients  lrb  function  rrb   	it is easy to confuse such questions     for example to argue that people eat because they  re hungry and not to acquire nutrients     without realizing that the reason people experience hunger  lrb  causation  rrb  is because it causes them to acquire nutrients  lrb  function  rrb   	it is easy to avenge such questions   for example to argue that people eat because they  re hungry and not to acquire nutrients   without realizing that the reason people experience hunger  lrb  causation  rrb  is because it causes them to acquire nutrients  lrb  function  rrb   
5905	ethologists are typically interested in a behavioral process rather than in a particular animal group and often study one type of behavior  lrb  e g  aggression  rrb  in a number of unrelated animals  	ethologists are typically interested in a behavioural process rather than in a particular animal group and often study one type of behavior  lrb  e g  aggression  rrb  in a number of unrelated animals  	ethologists are typically interested in a behavioral process rather than in a particular animal group and often study one type of behavior  lrb  e g  aggression  rrb  in a number of unrelated animals  
5906	groove is a consideration in genres such as salsa   funk   rock   fusion   and soul  	the term is mainly used in the genres outside of western art music   such as funk   rock music   power groove   fusion   and soul  	it is also called funk   funk   rock   fusion   and soul  
5907	groove is the sense of propulsive rhythmic    feel    or sense of    swing    created by the interaction of the music played by a band  s rhythm section  lrb  drums   electric bass or double bass   guitar   and keyboards  rrb   	groove is the sense of rhythmic    feel    or sense of    swing    created by music played by a band  s rhythm section  lrb  drums   electric bass or double bass   guitar   and keyboards  rrb   	groove is the sense of rhythmic    feel    or sense of    swing    created by the interaction of the music played by a band  s rhythm section  lrb  drums   electric bass or double bass   guitar   and keyboards  rrb   
5908	after he hosted a 1968 summer replacement for television  s the smothers brothers comedy hour variety show   campbell hosted his own weekly variety show   the glen campbell goodtime hour   from january 1969 through june 1972  	campbell guest starred on the smothers brothers comedy hour   and later hosted a series of his own   the glen campbell goodtime hour  	after he hosted a 1968 summer replacement for television  s the smothers brothers comedy hour variety show   campbell hosted his own weekly variety show   the glen campbell  unk  hour   from january 1969 through june 1972  
5909	his father   alexander george von humboldt   belonged to a prominent pomeranian family   he was a major in the prussian army and was rewarded for his services during the seven years   war with the post of royal chamberlain   he married the daughter of the prussian general adjutant   von schweder  	his father   alexander georg von humboldt   was a major in the prussian army  	his father   alexander george von humboldt   belonged to a prominent  unk  family   he was a major in the prussian army and was rewarded for his services during the seven years   war with the post of royal chamberlain   he married the daughter of the prussian general  unk    von  unk   
5910	carlos jorge neto martins  lrb  born 29 april 1982 in oliveira do hospital   coimbra  rrb  is a portuguese footballer who plays for sport lisboa e benfica  	carlos jorge neto martins  lrb  born 29 april 1982  rrb  is a portuguese football player   he plays for benfica  	carlos jorge neto martins  lrb  born 29 april 1982  rrb  is a portuguese football player   he plays for benfica and portugal national team  
5911	humboldt  s quantitative work on botanical geography laid the foundation for the field of biogeography  	humboldt  s work on botanical geography was very important in the field of biogeography  	humboldt  s work on botanical geography laid the foundation for the field of biogeography  
5912	thoa mehram khan is a village and union council   an administrative subdivision   of chakwal district in the punjab province of pakistan   it is part of talagang tehsil  	thoa mehram khan is a village and union council of chakwal district in the punjab province of pakistan   it is part of talagang tehsil  	 unk   unk  khan is a village and union council   an administrative subdivision   of chakwal district in the punjab province of pakistan   it is part of talagang tehsil  
5913	toshihiro uchida  lrb  born 12 august 1972  rrb  is a former japanese football player  	toshihiro uchida  lrb  born 12 august 1972  rrb  is a former japanese football player  	toshihiro uchida  lrb  born 12 august 1972  rrb  is a former japanese football player  
5914	the term    investment    is used differently in economics and in finance   economists refer to a real investment  lrb  such as a machine or a house  rrb    while financial economists refer to a financial asset   such as money that is put into a bank or the market   which may then be used to buy a real asset  	the major difference in the use of the term investment between the economics field and the finance field is that economists refer to a real investment  lrb  such as a machine or a house  rrb    while financial economists refer to a financial asset   such as money that is put into a bank or the market   which may then be used to buy a real asset  	the term    investment    is used differently in economics and in finance  
5915	a k6 can have up to 18 engraving heads each cutting 8 000 cells per second to an accuracy of  1  m and below  	a k6 can have up to 18 engraving heads each cutting 8 000 cells per second to an accuracy of 0 1  m and below  	a k6 can have up to 18 engraving heads each cutting  unk  cells per second to an accuracy of 0 1  m and below  
5916	in the u s  bureau of engraving and printing   more than one hand engraver will work on the same plate   making it nearly impossible for one person to duplicate all the engraving on a particular banknote or document  	in the u s  bureau of engraving and printing   more than one engraver will work on the same printing plate   making it nearly impossible for any person to duplicate all the engraving on almost any banknote or document  	in the u s  bureau of engraving and printing   more than one hand tricks will work on the same plate   making it nearly impossible for one person to duplicate all the engraving on a particular  unk  or document  
5917	bezalel   along with oholiab   was qualified to do this specialized engraving work as well as to train others  	 bezalel   along with oholiab   was qualified to do this specialized engraving work as well as to train others  	bezalel   along with  unk    was qualified to do this specialized engraving work as well as to train others  
5918	flat gravers are used for doing fill work on letters   as well as most musical instrument engraving work  	flat gravers are used for doing work on letters   as well as most musical instrument engraving work  	flat gravers are used for doing fill work on letters   as well as most musical instrument engraving work  
5919	engravers use a hardened steel tool called a burin to cut the design into the surface   most traditionally a copper plate  	engravers use a steel tool called a burin to cut the picture or pattern into the surface   mostly a copper plate  	engravers use a steel tool called a  unk  to cut the surface   most traditionally a copper plate  
5920	because of the high level of microscopic detail that can be achieved by a master engraver   counterfeiting of engraved designs is well nigh impossible   and modern banknotes are almost always engraved   as are plates for printing money   checks   bonds and other security sensitive papers  	because of the high level of detail that can be done by a master engraver   faking engraved designs is almost impossible   and modern banknotes are almost always engraved   as are plates for printing money   checks   bonds and other papers that should not be faked  	because of the high level of microscopic detail that can be achieved by a master engraver    unk  of engraved designs is  unk  impossible   and modern banknotes are almost always engraved   as are plates for printing money   checks   bonds and other  unk  papers  
5921	the engraving process with diamonds is state of the art since the 1960s  	the engraving process with diamonds is state of the art since the 1960s  	the engraving process with diamonds is  unk  since the 1960s  
5922	one famous example is his sudarium of saint veronica  lrb  1649  rrb    an engraving of the face of jesus made from a single spiraling line that starts at the tip of jesus  s nose  	one example is his sudarium of saint veronica   an engraving of the face of jesus from a single spiralling line that starts at the tip jesus  s nose  lrb  pictured  rrb   	one famous example is his  unk  of saint veronica   an engraving of the face of jesus made from a single  unk  line that starts at the tip of jesus  s nose  
5923	the engraving is so fine that a normal printer can not recreate the detail of hand engraved images   nor can it be scanned  	engraving is so fine that a normal printer can not make the detail of hand engraved images properly  	engraving is so fine that a normal printer can not make the detail of hand engraved images   nor can it be  unk   
5924	engraving was commonly done with pointed tools of iron or even with diamond points  	engraving was commonly done with pointed tools of iron or even with diamond points  	engraving was commonly done with pointed tools of iron or even with diamond points  
5925	westport is home to the westport country playhouse   the westport public library   and staples high school  	westport is a town in south western connecticut  	 unk  is a city of illinois in the united states  
5926	the first and greatest period of the engraving was from about 1470 to 1530   with such masters as martin schongauer   albrecht d 1  4 rer   and lucas van leiden  	the first and greatest period of engraving was from about 1470 to 1530   with such masters as martin schongauer   albrecht d 1  4 rer   and lucas van leiden  	the first and greatest period of engraving was from about 1470 to 1530   with such masters as martin  unk    albrecht d 1  4 rer   and lucas van leiden  
5927	the earliest allusion to engraving in the bible may be the reference to judah  s seal ring  lrb  ge 38 18  rrb    followed by  lrb  ex 39 30  rrb   	the earliest allusion to engraving in the bible may be the reference to judah s seal ring    lrb  genesis 38 18  rrb    followed by  lrb  exodus 39 30  rrb   	the earliest allusion to engraving in the bible may be the reference to judah  s seal ring  lrb  genesis  unk   rrb    followed by  lrb  ex  unk   rrb   
5928	round gravers are commonly used on silver to create bright cuts  lrb  also called bright cut engraving  rrb    as well as other hard to cut metals such as nickel and steel  	round gravers are commonly used on silver as well as other hard to cut metals such as nickel and steel  	round gravers are commonly used on silver to create bright cuts  lrb  also called  unk  engraving  rrb    as well as other  unk  metals such as nickel and steel  
5929	in the european middle ages goldsmiths used engraving to decorate and inscribe metalwork  	in the european middle ages goldsmiths used engraving to decorate metal  	in the european middle ages  unk  used engraving to decorate metal  
5930	more than 4 000 engravers make approx   8 mio printing cylinders worldwide per year  	more than 4 000 engravers make about 8 million printing cylinders worldwide per year  	more than 4 000 engravers make about 8 million printing cylinders worldwide per year  
5931	today laser engraving machines are in development but still mechanical cutting has proven its strength in economical terms and quality  	now   laser engraving machines are being made and even today the mechanical cutting has proven its strength in economical terms and quality  	today   laser engraving machines are in development but still mechanical cutting has proven its strength in economical terms and quality  
5932	tsuyoshi yoshitake  lrb  born september 8   1981 in mie prefecture  rrb  is a japanese soccer player currently playing for fc tampa bay in the united states second division north american soccer league  	tsuyoshi yoshitake  lrb  born 8 september 1981  rrb  is a japanese football player  	tsuyoshi  unk   lrb  born 8 september 1981  rrb  is a japanese football player   he plays for tampa bay  
5933	engraving machines such as the k500  lrb  packaging  rrb  or k6  lrb  publication  rrb  by hell gravure systems use a diamond stylus to cut cells  	engraving machines such as the k500 or k6 by hell gravure systems use a diamond    pen    to cut cells  	engraving machines such as the  unk   lrb  packaging  rrb  or k6  lrb  publication  rrb  by hell  unk  systems use a diamond poisoned to cut cells  
5934	florentine liners are flat bottomed tools with multiple lines incised into them   used to do fill work on larger areas  	florentine liners are flat bottomed tools with multiple lines on them   used to do work on larger areas  	florentine liners are flat tools with multiple lines  unk  into them   used to do fill work on larger areas  
5935	each of the two onyx stones on the shoulder pieces of the high priest s ephod was engraved with the names of six different tribes of israel   and each of the 12 precious stones that adorned his breastpiece was engraved with the name of one of the tribes  	each of the two onyx stones on the shoulder pieces of the high priest s ephod was engraved with the names of six different tribes of israel   and each of the 12 precious stones that adorned his breastpiece was engraved with the name of one of the tribes  	each of the two onyx stones on the  unk  of the high  unk  s  unk  was engraved with the names of six different tribes of israel   and each of the 12 precious stones that  unk  his  unk  was engraved with the name of one of the tribes  
