0	it is the county seat of alfalfa county  	it is the county seat of alfalfa county  	there is a county seat of alfalfa county   county   county   united states  
3310	the single was released digitally to digital stores and radio stations on august 25   2008  	the single was released digitally to digital stores and radio stations on august 25   2008  	the single was released digitally to digital stores and radio stations on august 25   2008  
3311	so one speaks of    the d il    but not    the d il  ireann     	the official record of everything said in the d il is called or   volume  lrb  book  rrb  one starts on the day the third d il met   so the record of the first d il is called book f   and the second d il starts with book s 	according to the university of great everything   the d il d il  lrb  book  rrb  is a member of the d il d il museum  
3312	a d il means an assembly or parliament   so a literal translation of d il  ireann is    assembly of ireland      article 15 of ireland  s constitution describes the body as    a house of representatives to be called d il  ireann     lrb  teach ionad ir ar a dtugtar d il  ireann  rrb   	d il  ireann is the lower house of the parliament of ireland  	d il  ireann is the lower house of the parliament of ireland  
3313	this may cause serious acne on the face   neck   chest   back and shoulders  	this event may cause serious acne on the face   neck   chest   back and shoulders  	this event may cause serious powerpoint on the face   neck   chest   back and shoulders  
3314	public figure is a legal term applied in the context of defamation actions  lrb  libel and slander  rrb  as well as invasion of privacy  	a public figure is a legal term applied in the context of defamation actions  lrb  libel and slander  rrb    as well as invasion of privacy  	a public figure is a legal term applied in the context of defamation  lrb  libel and slander  rrb    as well as invasion of privacy  
3315	founded in 1917 by henry m  leland and acquired by ford in 1922   lincoln has manufactured vehicles since the 1920s  	lincoln became a member of ford around 1922 and was founded by henry m  leland  	lincoln became a member of ford around 1922 and was founded by henry m  leland  
3316	chemical similarity  lrb  or molecular similarity  rrb  refers to the similarity of chemical elements   molecules or chemical compounds with respect to either structural or functional qualities   i e  the effect that the chemical compound has on reaction partners in anorganic or biological settings  	chemical similarity or molecular similarity is a similarity between two different molecules   two molecules with chemical similarity may do the same or a very similar thing in an organism  	chemical similarity to the chemical similarity to the chemical similarity to the chemical similarity to the chemical similarity to the chemical similarity  
3317	the current headteacher is dr andrew gillespie who took over from cathrine long in january 2008  	the current head teacher is dr andrew gillespie who took over from cathy long in january 2008  	the current head teacher is dr andrew gillespie who took over from 407 long in january 2008  
3318	here   the sebum traverses ducts that terminate in sweat pores on the surface of the skin  	here   the sebum travels along ducts which end inside sweat pores near the surface of the skin  	here   the sebum travels along ducts which end inside sweat pores near the surface of the skin  
3319	the school has an all weather full sized tiger turf sports pitch which the wycombe wanderers first team occasionally train on  	the school has an all weather sports pitch which which the wycombe wanderers first team sometimes train on  	the school has an all weather sports pitch which the wycombe wanderers first team sometimes train on  
3320	in september 2004 the department for education and skills  lrb  dfes  rrb  awarded the school specialist school status as a science college  	in september 2004 the department for education and skills  lrb  dfes  rrb  awarded the school status as a science college  	in september 2004 the department for education and skills  lrb  dfes  rrb  awarded the school status as a science college  
3321	burnham grammar school  lrb  bgs  rrb  is a co educational grammar school in burnham   buckinghamshire  	burnham grammar school  lrb  bgs  rrb  is a children  s grammar school in burnham   buckinghamshire  	burnham grammar school  lrb  bgs  rrb  is a school  s grammar school in burnham   buckinghamshire   united states  
3322	martin erat  lrb  born august 28   1981  rrb  is a czech professional ice hockey player currently playing for the nashville predators of the national hockey league  lrb  nhl  rrb   	martin erat  lrb  born august 28   1981 in t eb    czechoslovakia  rrb  is an nhl ice hockey right winger that currently plays for the nashville predators  	martin erat is an nhl ice hockey right winger that currently plays for the nashville predators in the nashville predators  
3323	martin has an older brother roman erat   who also plays hockey   but not at an nhl level  	martin also has a older brother named roman who also plays hockey but does n t play in the nhl  	martin also has a elder brother named roman who also plays hockey but does n t play in the nhl  
3324	it was released only on dvd in the united states on june 27   2006   a few days after the tv series finale  	it was released on dvd in the united states on june 27   2006   a few days after the tv series finale  	it was released on dvd in the united states on june 27   2006   a few days after the tv series finale  
3325	leroy   stitch  lrb  stylized as leroy lilo   stitch  rrb  is an animated tv film produced by walt disney television animation  	leroy   stitch is an animated movie made by walt disney television animation  	leroy   stitch is an animated film produced by walt disney pictures  
3326	it is a spin off film of the 2002 animated feature film lilo   stitch and the conclusion to the television series lilo   stitch   the series and the franchise as well  	it is a spin off disney channel movie of the 2002 animated movie lilo   stitch and the end of the television series lilo   stitch   the series  	it is a spin off disney channel television series lilo   stitch and the end of the television series lilo   stitch and the end of the television series lilo   stitch   the series  
3327	the film debuted on the disney channel on june 23   2006 and also aired on toon disney on june 26   2006  	the movie premiered on the disney channel on june 23   2006 and also aired on toon disney on june 26   2006  	the film premiered on the disney channel on june 23   2006 and also aired on toon disney on june 26   2006  
3328	they secrete a form of sebum  lrb  called meibum  rrb  onto the eye   slowing the evaporation of tears  	they secrete a form of sebum  lrb  known as meibum  rrb  onto the eye   which slows the drying of tears  	they secrete a sterile of sebum  lrb  known as meibum  rrb  onto the drying of tears  
3329	shade is the blocking of sunlight  lrb  in particular direct sunshine  rrb  by any object   and also the shadow created by that object  	so the sunlight can not reach the spot   the dark image   which the object casts on the ground  lrb  or on another object  rrb  is called shadow   not shade  	it is not true  
3330	dhurnal is a village and union council   an administrative subdivision   of chakwal district in the punjab province of pakistan   it is part of talagang tehsil and is located at 32  47   60n 72  5   60e  	dhurnal is a village and union council   an administrative subdivision   of chakwal district in the punjab province of pakistan   it is part of talagang tehsil and is located at 32  47   60n 72  5   60e  	dhurnal is a village and union council   an administrative subdivision   of chakwal district in the punjab province of pakistan   it is part of talagang tehsil and is located at 32  47   60n 72  5   60e  
3331	the first is the self titled evanescence ep  lrb  1998  rrb    of which about 100 copies were made and distributed at the band  s early live performances   the second is the sound asleep ep   also known as the whisper ep  lrb  1999  rrb   	before fallen was released   evanescence made two eps  lrb  evanescence ep and sound asleep ep  rrb  and one demo cd called origin  	before fallen was released   evanescence made two eps  lrb  evanescence ep and sound asleep ep  rrb  and one demo cd called origin  
3332	the album was listed for 104 weeks on the billboard top 200   and it was one of eight albums in the history of the chart to spend at least a year on the billboard top 50  	it is also one of the eight albums to stay for at least a year within the billboard top 50 charts  	it is one of the eight albums to stay for at least a year within the billboard top 50 charts  
3333	evanescence is an american rock band founded in little rock   arkansas in 1995 by singer  pianist amy lee and guitarist ben moody  	evanescence is a rock band from the united states   the band was formed in little rock   arkansas by amy lee and ben moody in 1995  	evanescence is a rock band from the band formed in 1891   formed in 1995  
3334	evanescence was founded by singer   pianist and songwriter amy lee and former lead guitarist and songwriter ben moody  	the people who founded evanescence are singer   songwriter and pianist amy lee and guitarist and songwriter ben moody who is no longer a member in the band  	he is known for her roles as singer   songwriter and pianist amy lee and guitarist ben moody who is no longer a member  
3335	in 2004   evanescence  s new lineup released a dvd  cd compilation entitled anywhere but home  	in 2004   evanescence released anywhere but home   their first live album  	in 2004   evanescence released anywhere as home to their first live album  
3336	after recording private albums   the band released their first full length album   fallen   on wind up records in 2003  	the band  s first album is fallen   which was released in 2003  	the band  s first album is fallen   which was released in 2003  
3337	fallen spent 43 weeks on the billboard top 10   was certified 7x platinum in the united states   and sold more than 15 million copies worldwide   including 7 million in the us  	fallen became a worldwide success   and spent 43 weeks on the billboard top 10 charts   it sold over 15 million copies and was certified 7x platinum in the united states  	fallen became a worldwide success   and spent 43 weeks on the billboard top 10 charts  
3338	meanwhile   evanescence signed on with their first major label   wind up records   and began work on their first album   fallen  	the three also worked on previous evanescence songs   the band also signed their first major label in early 2003 and started working on fallen  	the three also worked on previous evanescence songs and signed to their first major label in early 2003  
3339	in early 2003   the lineup was completed by amy lee and ben moody  s friends   john lecompt   rocky gray and will boyd   all of whom worked on evanescence  s earlier songs  	three of lee and moody  s friends joined the band   they were john lecompt   rocky gray and will boyd  	three of lee and moody  s friends joined the band and were john lecompt   rocky gray and will boyd  
3340	the two met in 1994 at a youth camp in little rock   where moody heard lee playing    i  d do anything for love  lrb  but i wo n t do that  rrb     by meat loaf on the piano  	they met in a youth camp in 1994   when moody heard lee playing a song on the piano  	they met in a youth camp in 1994   when moody heard lee playing a song on the piano  
3341	wind up issued a press release on may 17   2007   stating that two dark new day members   drummer will hunt and guitarist troy mclawhorn   would be joining the band to replace lecompt and gray   it was initially stated that hunt and mclawhorn would tour with evanescence until the end of the family values tour in september 2007   but both continued to play with the band through the open door tour  	they were replaced for some time by will hunt and troy mclawhorn   who are from the band dark new day  	they were replaced by will hunt and troy mclawhorn   who are from the band dark new day  
3342	according to legend she was born in the same manner as the buddha   a sanskrit mantra sounding as her mother gave birth painlessly   and she is considered a reincarnation of the buddha  s own mother   maya devi  	according to legend she was born in the same manner as the buddha   a sanskrit mantra sounding as her mother gave birth painlessly   she is considered a reincarnation of the buddha  s own mother  	according to legend she was born in the same manner as the buddha   a sanskrit mantra sounding as her mother who is considered a reincarnation of the buddha  s own mother  
3343	she displays whatever emanation form will tame any given  lrb  person  rrb    just as   for example   the full moon in the sky emerges as  lrb  various  rrb  reflections in different water vessels  	in fact   she displays whatever emanation form will tame any given  lrb  person  rrb    just as   for example   the full moon in the sky emerges as  lrb  various  rrb  reflections in different water vessels  	in fact   she displays whatever emanation form will tame any given  lrb  person  rrb    just as for example   the full moon in the sky got as  lrb  various  rrb  reflections in different water vessels  
3344	her name  lrb     primordial  lrb  ye  rrb  wisdom  lrb  shes  rrb  queen  lrb  rgyal mo  rrb  of the lake  lrb  tso  rrb      rrb  derives from her birth causing a nearby lake to double in size  	her name  lrb     primordial  lrb  ye  rrb  wisdom  lrb  shes  rrb  queen  lrb  rgyal mo  rrb  of the lake  lrb  tso  rrb      rrb  derives from her birth causing a nearby lake to double in size  	her name     primordial  lrb  ye  rrb  wisdom  lrb  the lake of the lake  lrb  tso morris  rrb  of the lake  lrb  tso morris  rrb   
3345	the vast majority of peppers can be found within the two main genera   piper  lrb  2000 species  rrb  and peperomia  lrb  1600 species  rrb   	the vast majority of peppers can be found within the two main genera   piper  lrb  2000 species  rrb  and peperomia  lrb  1600 species  rrb   	the vast majority of peppers can be found within the two main genera   piper  lrb  2000 species  rrb  and peperomia  lrb  1600 species  rrb   
3346	as a young girl   she is said to have prayed for the happiness of all sentient beings  	as a young girl   she is said to have prayed for the happiness of all sentient beings  	as a young girl   she is said to have written for the happiness of all sentient beings  
3347	yeshe tsogyel   also known in the nyingma tradition as the great bliss queen   is a semi mythical female deity or figure of enlightenment  lrb  dakini  rrb  in tibetan buddhism  	yeshe tsogyel  lrb    rhymes with    may say so well     rrb  is also known in the nyingma tradition of tibetan buddhism as the great bliss queen   she is both a woman and a female deity called a dakini  	2 000 tsogyel  lrb      rhymes with    may say so well     rrb  is also known in the nyingma tradition of tibetan buddhism as the great bliss queen  
3348	from the mouth of a lotus was born the swift goddess   heroic liberator who went forth in human form amid the snowy mountains of tibet  	she lived from 757 to 817   and was the wife of emperor trisong detsen  lrb  740   c  798  rrb  who invited padmasambhava to tibet   from the mouth of a lotus was born the swift goddess   heroic liberator who went forth in human form amid the snowy mountains of tibet  	she lived from 757 to 817   and was the wife of emperor trisong detsen  lrb  741     c  1573  rrb  who invited myslive to tibet from the mouth of a lotus was born the swift goddess of tibet  
3349	john edward schella  lrb  born may 9   1947 in port arthur   ontario  rrb  is a retired professional ice hockey player who played 385 games in the world hockey association and 115 games in the national hockey league  	john edward schella  lrb  born may 9   1947 in port arthur   ontario  rrb  is a retired professional ice hockey player   during his career he played 385 games for the houston aeros in the world hockey association and 115 games for the vancouver canucks in the national hockey league  	john edward schella  lrb  born may 9   1947 in port arthur   ontario  rrb  is a retired professional ice hockey player who played 385 games for the houston aeros in the world hockey association and 115 games for the vancouver canucks in the national hockey league  
3350	latitude and longitude may be specified  lrb  with appropriate precision  rrb  either in decimal notation or as degrees  minutes  seconds  	the template is for wgs84 geographical coordinates  lrb  latitude   longitude  rrb  on earth   which can be entered in either decimal notation   or degrees  minutes  seconds parameters   with the appropriate precision  	the template is for wgs84 geographical coordinates  lrb  latitude   longitude  rrb  on earth   which can be entered in either decimal notation   or degrees  minutes  seconds parameters   with the appropriate precision  
3351	see how do i get my wikipedia article to show up in the google earth geographic web layer    	see how do i get my wikipedia article to show up in the google earth geographic web layer    	see how do do get my wikipedia article to show up in the google earth geographic web layer  
3352	botvinnik used what he regarded as the first version of his method of preparing for a contest   but fell two games behind by the end of the first six   played in moscow  	botvinnik fell two games behind by the end of the first six   played in moscow  	after moving to the end of the first six   he was called a    
3353	tools which read wikipedia database dumps  lrb  such as google earth  rrb  often ignore inline coordinates  	is used by tools which parse the raw wikipedia database dumps   such as google earth  	is used by tools which parse the raw wikipedia database dumps   such as google earth  
3354	most parameters can be used as before     see usage  	all parameters can be used as before   see usage  	all parameters can be used as before   see usage  
3355	clicking on the globe activates the wikiminiatlas  lrb  requires javascript  rrb   	clicking the blue globe activates the wikiminiatlas  lrb  needs javascript  rrb   	clicking the blue globe toss the wikiminiatlas  lrb  needs javascript  rrb   
3356	see also wikiproject geographical coordinates  	see also wikiproject geographical coordinates  	see also wikiproject geographical coordinates  
3357	a live version of    harder   better   faster   stronger    was released as a single from the album alive 2007 on 15 october 2007  	kanye west  s 2007 song stronger from the album graduation uses a sample from harder   better   faster   stronger  	kanye west  s 2007 song of graduation made a sample from harder   better   faster   stronger  
3358	souclin is a commune in the ain department in eastern france  	souclin is a commune  	souclin is a commune in the ain department in eastern france  
3359	currently entirely digital it can be found at frostmagazine com and is a mix of interviews   news   opinions   tv and film previews and shopping aimed at men and women  	it currently is a mix of interviews   news   opinions   tv and shopping aimed at men and women  	it currently is a combination of interviews   news   opinions   tv and shopping aimed at men and women  
3360	this is a partial list of the various lists of astronomical objects  	this is a partial list of the various lists of astronomical objects which either exist   or should exist   in wikipedia  	this is a partial list of astronomical objects which either exist   or should exist   in wikipedia  
3361	jo   o carlos batista pinheiro   pinheiro  lrb  campos dos goytacazes   january 13   1932  rrb    was a brazilian footballer who achieved notoriety playing for fluminense and the brazilian national football team  	jo   o carlos batista pinheiro  lrb  born 13 january   1932  rrb  is a former brazilian football player  	jo   o carlos pinheiro or simply ataliba  lrb  born january 13   1932 in rio de janeiro  rrb    is a brazilian footballer  
3362	oscar alfredo ruggeri  lrb  born 26 january 1962 in corral de bustos   c rdoba  rrb  is a former footballer  	oscar ruggeri  lrb  born 26 january 1962  rrb  is a former argentine football player  	oscar ruggeri ruggeri  lrb  born 26 january 1962 in buenos aires  rrb  is a retired argentine football player  
3363	thespa kusatsu is a professional football  lrb  soccer  rrb  club based in gunma prefecture in japan  	thespa kusatsu is a football club which plays in japan  	thespa kusatsu is a japanese football club based in thespa   shiga  
3364	berni res sur mer is a commune in the calvados department in the basse normandie region in northwestern france  	berni res sur mer is a commune   it is found in the region basse normandie in the calvados department in the northwest of france  	berni res sur mer is a commune in the calvados department in the basse normandie region in northwestern france  
3365	paulo manuel carvalho de sousa   cavih  lrb    born 30 august 1970  rrb  is a former portuguese footballer   and a current manager  	paulo sousa  lrb  born 30 august 1970  rrb  is a former portuguese football player  	paulo sousa  lrb  born august 30   1970 in montijo  rrb  is a retired portuguese footballer   who played as a striker  
3366	a partial skeleton was discovered in 2001  	a partial skeleton was discovered in 2001  	a partial skeleton was discovered in 2001  
3367	at first   scientists thought they had found mandibles and skulls belonging to homo ergaster   but size differences led them to name a new species   homo georgicus   which would be the descendant of homo habilis and ancestor of asian homo erectus  	at first   scientists thought they had found mandibles and skulls belonging to homo ergaster   but size differences led them to name a new species  	at first   scientists speculated that they had found mandibles and skulls belonging to homo ergaster   but size differences led them to name a new species  
3368	the cranium was the smallest and most primitive hominina skull ever discovered outside of africa where typical hominina   the australopithecines and early homo represent two distinctive evolutionary paths sharing a common ancestor  	in africa   the australopithecines and early homo represent two distinctive evolutionary paths sharing a common ancestor  	in africa   the australopithecines and early homo represent two distinctive evolutionary paths sharing a common ancestor  
3369	in georgia the specimens with a brain half the size compared to anatomically modern humans were considered the smallest until the discovery of homo floresiensis from the island of flores in 2003  	in georgia the specimens   with a brain half the size of anatomically modern humans   were the smallest found until the discovery of homo floresiensis on the island of flores in 2003  	in georgia the specimens   with a brain half the size of anatomically modern humans   were the smallest found until the discovery of homo floresiensis on the island of flores in 2003  
3370	the assemblage includes one of the largest pleistocene homo mandibles  lrb  d2600  rrb    one of the smallest lower pleistocene mandibles  lrb  d211  rrb    a nearly complete sub adult  lrb  d2735  rrb    and a completely edentulous specimen  lrb  d3900  rrb   	the assemblage includes one of the largest pleistocene homo mandibles  lrb  d2600  rrb    one of the smallest lower pleistocene mandibles  lrb  d211  rrb    a nearly complete sub adult  lrb  d2735  rrb    and a completely edentulous specimen  lrb  d3900  rrb   	the franciscan includes one of the largest pleistocene homo  lrb  d2600  rrb    one of the smallest lower pleistocene mandibles  lrb  d211  rrb    one of the smallest lower pleistocene mandibles  lrb  d211  rrb    a completely edentulous specimen  lrb  d3900  rrb   
3371	at around 600 cm brain volume   the skull d2700 is dated to 1 77 million years old and in good condition offering insights in comparison to the modern human cranial morphology  	at around 600 cm brain volume   the skull d2700 is dated to 1 77 million years old and in good condition offering insights in comparison to the modern human cranial morphology  	at around 600 cm brain volume   the skull d2700 is dated to 1 77 million years old and in good condition offering insights in comparison to the modern human cranial morphology  
3372	homo georgicus is a species of homo that was suggested in 2002 to describe fossil skulls and jaws found in dmanisi   georgia in 1999 and 2001   which seem intermediate between homo habilis and h  erectus  	homo georgicus is a species of homo that was proposed in 2002   it is based on fossil skulls and jaws found in dmanisi   georgia in 1999 and 2001   which seem intermediate between homo habilis and h  erectus  	homo georgicus is a species of homo  
3373	subsequently   four fossil skeletons were found   showing a species primitive in its skull and upper body but with relatively advanced spines and lower limbs   providing greater mobility  	later   four fossil skeletons were found   showing a species primitive in its skull and upper body but with relatively advanced spines and lower limbs   providing greater mobility  	later   four fossil skeletons were found   showing a species primitive in its skull and upper body but with relatively advanced lateral and lower limbs   providing greater mobility  
3374	implements and animal bones were found alongside the ancient human remains  	implements and animal bones were found alongside the ancient human remains  	implements and animal bones were found alongside the ancient human remains  
3375	the purpose of using perfume or fragrance compositions in these industries is to affect customers through their sense of smell and entice them into purchasing the perfume or perfumed product  	therefore perfume is developed to remove body smell   to make a perfume   alcohol is needed  	therefore     is developed to remove body smell   as well as a perfume   alcohol is needed  
3376	although there is no single    correct    technique for the formulation of a perfume   there are general guidelines as to how a perfume can be constructed from a concept   although many ingredients do not contribute to the smell of a perfume   many perfumes include colorants and anti oxidants to improve the marketability and shelf life of the perfume   respectively  	result of this   use of perfume is not so high  	thus   use of perfume is not so high  
3377	automatix allows the menu driven installation of 56 different    capabilities      including commercial closed source programs such as the flash plugin   acrobat reader   multimedia codecs  lrb  divx   mp3   windows media audio  rrb  and fonts   and programming compilers  	automatix allowed the menu driven installation of 56 different  capabilities   including commercial closed source programs such as the flash plugin   acrobat reader   multimedia codecs  lrb  divx   mp3   windows media audio  rrb  and fonts   and programming compilers  	automatix allowed the menu driven installation of 56 different  capabilities   including commercial closed source programs such as the flash plugin   acrobat reader   multimedia codecs  lrb  divx   mp3   windows media audio  rrb  and fonts compilers  
3378	kunio nagayama  lrb  born 16 september 1970  rrb  is a former japanese football player  	kunio nagayama  lrb  born 16 september 1970  rrb  is a former japanese football player  	kunio nagayama is a retired japanese football player  
3379	money talks is a 1997 american comedy film directed by brett ratner   starring chris tucker and charlie sheen  	money talks is a 1997 action  comedy film directed by brett ratner and starring chris tucker and charlie sheen  	money keeper is a 1997 action  comedy film directed by brett ratner and starring chris tucker and charlie sheen  
3380	the northern line is a london underground line   it is colored black on the tube map  	the northern line is a deep level tube line on the london underground   colored black on the tube map  	the northern line is a deep level line on the london underground   colored black on the tube map  
3381	tel aviv   haifa   and rishon lezion rank as israel  s next most populous cities   with populations of 393 900   265 600   and 227 600 respectively  	tel aviv   haifa   beersheba and rishon lezion are also large cities  	tel aviv   haifa   beersheba and rishon lezion are also large cities  
3382	thrissur is also known as the cultural capital of kerala because of its cultural   spiritual and religious leanings towards history   it houses the kerala sangeetha nadaka academy   kerala lalita kala akademi and kerala sahitya academy  	it is known as the cultural capital of kerala  	it is known as the cultural capital of kerala  
3383	lalleyriat is a commune in the ain department in eastern france  	lalleyriat is a commune  	lalleyriat is a commune in the ain department in eastern france  
3384	most naphthalene is derived from coal tar   from the 1960s until the 1990s   significant amounts of naphthalene were also produced from heavy petroleum fractions during petroleum refining   but today petroleum derived naphthalene represents only a minor component of naphthalene production  	naphthalene is toxic  	naphthalene is toxic  
3385	exposure to large amounts of naphthalene may damage or destroy red blood cells  	in humans   being exposed to naphthalene can destroy red blood cells  	in humans   being exposed to naphthalene can destroy red blood cells  
3386	wettin castle is located in wettin in the hosgau on the saale river  	wettin castle is located in wettin   saxony anhalt in the hosgau on the saale river  	wettin castle is located in wettin   saxony anhalt in the hosgau on the saale river  
3387	the house of wettin is a dynasty of german counts   dukes   prince electors  lrb  kurf 1  4 rsten  rrb  and kings that once ruled the area of today  s german states of saxony   the saxon part of saxony anhalt   and thuringia for more than 800 years  	the house of wettin was a dynasty of german counts   dukes   prince electors  lrb  kurf 1  4 rsten  rrb  and kings that ruled in what is known today as the german states of saxony and thuringia for more than 800 years  	the house of wettin was a dynasty of german counts   dukes   leanne  lrb  kurf 1  4 rsten  rrb  and kings that ruled in what is known today as the german states of saxony and thuringia for more than 800 years  
3388	around 1000   the family acquired wettin castle   after which they named themselves  	around 1000   as part of the german conquest of slavic territory   the family got wettin castle and changed their name  	around   as part of the german conquest of slavic territory   the family had wettin castle and changed their name to the name  
3389	   priest         mother  s day      and    lullaby  lrb  the divorce song  rrb     were originally recorded on his first cd a little bit special  	   priest         mother  s day      and    lullaby  lrb  the divorce song  rrb     were originally recorded on his first cd a little bit special  	   priest         mother  s day      and    heartbreak  lrb  the divorce song  rrb  were originally recorded on his first cd a little hit version  
3390	intel hd graphics 3000 come integrated with the cpu   while the 15   and 17 inch models also utilize discrete graphics cards from amd   the radeon hd 6490m and radeon hd 6750m models  	  graphics the gpu is part of the cpu and is called intel hd graphics 3000   the 15    and 17    models also have either a separate amd radeon hd 6490m or amd radeon hd 6750m  	the 15 is part of the cpu that is called intel hd graphics 6750m or amd radeon hd from the 15     17 hd   hd  lrb  15     16  rrb   
3391	positioned at the high end of the macbook family   the macbook pro is currently produced in three sizes   the 13     15     and 17   inch  	macbook pros are currently housed in aluminum metal and are currently available in 13      15    and 17    models  	macbook pros are currently housed in aluminium metal and are currently available in 13      15    and 17    models  
3392	the macbook pro is a line of macintosh portable computers introduced in january 2006 by apple inc   	a macbook pro is a type of laptop computer made by apple inc   	a macbook pro is a type of laptop computer game developed by apple inc   
3393	hayley wickenheiser  lrb  born august 12   1978  rrb  is a women  s ice hockey player from canada  	hayley wickenheiser  lrb  born august 12   1978 in shaunavon   saskatchewan  rrb  is an women  s olympic ice hockey forward that plays for team canada  	hayley wickenheiser  lrb    born 12 august 1978  rrb  is an english actor  
3394	she was the first woman to play full time professional hockey in a position other than goalie  	she is the first woman to play full time pro hockey in a position other than goaltender  	she is the first woman to play full time pro hockey in a position other than goaltender  
3395	kidman gave birth to their first child   a daughter   sunday rose kidman urban   on july 7   2008 in nashville   tennessee  	urban is married to actress nicole kidman where he met at g   day la   a hollywood event honoring australians and the two have 1 child   sunday rose kidman urban  lrb  born july 7   2008  rrb   	urban is married to actress nicole kidman where he met at g   day la   a hollywood event honoring australians and the two have 1 child   sunday rose kidman urban  lrb  born july 7   2008  rrb   
3396	the incarnation represents the belief that jesus   who is the non created second hypostasis of the triune god   took on a human body and nature and became both man and god  	the incarnation is the belief that jesus   who is the non created second person of the triune god   took on a human body and everything that is human and became both man and god  	the utopian is the belief that jesus   who is the non created second person of the triune god   took on a human body and everything that is human and became both man and god  
3397	in recent decades   an alternative doctrine known as    oneness    has been espoused among various pentecostal groups  lrb  see below  rrb    but has been rejected by the remainder of christendom  	in recent past   another doctrine known as    oneness    has gained credit amongst pentecostal groups  lrb  see below  rrb    but has been rejected by other christians  	in recent past   another doctrine known as    oneness    has gained credit amongst pentecostal groups  lrb  see below  rrb    but has been rejected by other christians  
3398	netball is a ball sport played between two teams of seven players  	netball is a sport played in two teams of seven  	netball is a sport played in seven teams of seven teams  
3399	hitoshi sogahata is a japanese football player who   as of 2006 was playing for kashima antlers  	hitoshi sogahata  lrb  born 2 august 1979  rrb  is a japanese football player   he plays for kashima antlers  	hitoshi sogahata is a japanese football player currently playing for kashima antlers  
3400	ammonia solution   also known as ammonium hydroxide   ammonia water   ammonical liquor   ammonia liquor   aqua ammonia   aqueous ammonia   or simply ammonia   is a solution of ammonia in water  	ammonium hydroxide can refer to household ammonia or a more concentrated solution of ammonia in water  	ammonium hydroxide is produced in a mixture of concentrated barium salts such as chloric s water  
3401	approximately 2 million individual pieces of glass make up the cathedral  s 128 stained glass windows  	about 2 million individual pieces of glass make up the cathedral  s 128 stained glass windows  	about 2 million individual pieces of glass make up the cathedral  s 128 stained glass windows  
3402	walter de gray was made archbishop in 1215 and ordered the construction of a gothic structure to compare to canterbury   building began in 1220  	walter de gray was made archbishop in 1215 and ordered the construction of a gothic structure to compare with canterbury   building began in 1220  	walter de gray was founded in 1215 and ordered the construction of a gothic structure to compare canterbury  
3403	the nave contains the west window   constructed in 1338   and over the lady chapel in the east end is the great east window    lrb  finished in 1408  rrb    the largest expanse of medieval stained glass in the world  	the nave contains the west window   constructed in 1338  	the nave contains the west window   constructed in 1015  
3404	the english reformation led to the looting of much of the cathedral  s treasures and the loss of much of the church lands  	the english reformation led to the first anglican archbishop   some of the cathedral  s treasures were taken by the crown   and the church lost some of its land  	the english reformation led to the first black anglican archbishop of south   south africa   and some of its land  
3405	in the english civil war the city was besieged and fell to the forces of cromwell in 1644   but thomas fairfax prevented any further damage to the cathedral  	in the english civil war the city was besieged and fell to the forces of cromwell in 1644   but thomas fairfax prevented any further damage to the cathedral  	in the english civil war the city was besieged and fell to the forces of cromwell in ansbach   but thomas fairfax prevented any further damage to the cathedral  
3406	the church was damaged in 1069 during william the conqueror  s harrying of the north   but the first norman archbishop   thomas of bayeux   arriving in 1070   organised repairs  	the church was damaged in 1069   but the first norman archbishop   arriving in 1070   organised repairs  	the church was damaged in 1069   but the first norman archbishop   arriving in 1070   organised repairs  
3407	the title    minster    is attributed to churches established in the anglo saxon period as missionary teaching churches   and serves now as an honorific title  	the title minster is given to churches which in the anglo saxon period were missionary teaching churches  	the title gaius is given to churches which in the anglo saxon period were missionary teaching churches  
3408	some of the stained glass in york minster dates back to the twelfth century  	some of the stained glass in york minster dates back to the twelfth century  	some of the stained glass in york das dates back to the twelfth century  
3409	built in the norman style   it was 111 m  lrb  364 173 ft  rrb  long and rendered in white and red lines  	built in the norman style   it was 111 m  lrb  364 173 ft  rrb  long  	built in the norman style   it was 111 m  lrb  364 173 ft  rrb  long  
3410	the minster is the seat of the archbishop of york   the second highest office of the church of england   and is the cathedral for the diocese of york   it is run by a dean and chapter under the dean of york  	it is the   seat   of the archbishop of york   the second ranked religious official of the church of england   the minster is run by a chapter  lrb  committee  rrb  under the dean of york   who manages the affairs of the minster  	it is the head of the archbishop of york   the second ranked religious official of the church of england   the second ranked religious official of the church of england  
3411	york has had a christian presence from the fourth century  	york has had a christian presence from the 300s  	york has a christian presence from the 300s  
3412	there was a series of benedictine archbishops   including saint oswald   wulfstan   and ealdred   who traveled to westminster to crown william in 1066  	the benedictine archbishop ealdred traveled to westminster to crown william in 1066  	the benedictine archbishop ealdred traveled to westminster would crown princess in 1066  
3413	the church and the entire area then passed through the hands of numerous invaders   and its history is obscure until the 10th century  	the church and the entire area then passed through the hands of norse invaders  	the church and the entire area then passed through the hands of norse invaders  
3414	under elizabeth i there was a concerted effort to remove all traces of roman catholicism from the cathedral   there was much destruction of tombs   windows and altars  	under elizabeth i there was an effort to remove all traces of the roman catholic church from the cathedral   there was much destruction of tombs   windows   and altars  	under elizabeth i there was an effort to remove all traces of the roman catholic church from the cathedral   there was much destruction of marquis   windows   and shepherd  
